"player","runs","balls","wickets","economy","matches_played","dot_balls","bowling_average","overs"
"KL Rahul",0,0,0,0,71,0,0,0
"Mandeep Singh",0,0,0,0,3,0,0,0
"AT Rayudu",0,0,0,0,6,0,0,0
"MK Pandey",0,0,0,0,39,0,0,0
"KM Jadhav",0,0,0,0,9,0,0,0
"MS Dhoni",0,0,0,0,97,0,0,0
"AR Patel",1242,1042,52,7.15,52,402,23.8846153846154,174
"R Dhawan",42,25,1,10.08,1,7,42,4
"JJ Bumrah",1468,1371,75,6.42,61,614,19.5733333333333,228
"JD Unadkat",306,223,15,8.23,10,83,20.4,37
"YS Chahal",2443,1844,96,7.95,80,595,25.4479166666667,307
"DS Kulkarni",61,50,3,7.32,2,22,20.3333333333333,8
"BB Sran",46,53,6,5.21,2,28,7.66666666666667,9
"V Kohli",207,155,4,8.01,116,41,51.75,26
"SK Raina",450,362,13,7.46,78,100,34.6153846153846,60
"Yuvraj Singh",503,431,28,7,57,150,17.9642857142857,72
"HH Pandya",2012,1504,73,8.03,92,500,27.5616438356164,251
"Parvez Rasool",32,24,1,8,1,6,32,4
"A Nehra",779,609,34,7.67,27,235,22.9117647058824,102
"A Mishra",247,234,16,6.33,10,92,15.4375,39
"RR Pant",0,0,0,0,65,0,0,0
"RG Sharma",116,69,1,10.09,151,8,116,12
"AM Rahane",0,0,0,0,20,0,0,0
"STR Binny",55,31,1,10.65,3,9,55,5
"R Ashwin",1695,1510,72,6.74,65,587,23.5416666666667,252
"RA Jadeja",1544,1331,56,6.96,66,503,27.5714285714286,222
"Mohammed Shami",729,519,22,8.43,23,203,33.1363636363636,86
"B Kumar",2146,1879,90,6.85,87,857,23.8444444444444,313
"S Dhawan",0,0,0,0,67,0,0,0
"KD Karthik",18,6,0,18,58,1,0,1
"Kuldeep Yadav",826,738,58,6.72,34,286,14.2413793103448,123
"UT Yadav",283,184,12,9.23,9,75,23.5833333333333,31
"DL Chahar",754,557,31,8.12,25,225,24.3225806451613,93
"S Kaul",85,60,4,8.5,3,24,21.25,10
"SS Iyer",2,2,0,6,50,1,0,0
"Mohammed Siraj",342,240,12,8.55,10,86,28.5,40
"SN Thakur",772,512,31,9.05,24,179,24.9032258064516,85
"Washington Sundar",960,819,31,7.03,42,325,30.9677419354839,136
"V Shankar",191,135,5,8.49,9,39,38.2,22
"KH Pandya",563,432,15,7.82,19,122,37.5333333333333,72
"KK Ahmed",466,329,13,8.5,14,126,35.8461538461538,55
"M Markande",31,24,0,7.75,1,6,0,4
"Navdeep Saini",210,179,13,7.04,10,88,16.1538461538462,30
"S Dube",379,237,11,9.59,20,81,34.4545454545455,40
"SV Samson",0,0,0,0,25,0,0,0
"RD Chahar",173,137,7,7.58,6,45,24.7142857142857,23
"T Natarajan",123,98,7,7.53,4,29,17.5714285714286,16
"Ishan Kishan",0,0,0,0,32,0,0,0
"SA Yadav",0,0,0,0,60,0,0,0
"PP Shaw",0,0,0,0,1,0,0,0
"CV Varun",136,137,2,5.96,6,51,68,23
"RD Gaikwad",0,0,0,0,19,0,0,0
"D Padikkal",0,0,0,0,2,0,0,0
"N Rana",0,0,0,0,2,0,0,0
"C Sakariya",35,23,1,9.13,2,7,35,4
"S Sandeep Warrier",23,19,0,7.26,1,8,0,3
"DJ Hooda",76,96,6,4.75,21,40,12.6666666666667,16
"HV Patel",795,539,30,8.85,25,179,26.5,90
"Arshdeep Singh",1352,994,65,8.16,44,392,20.8,166
"Avesh Khan",606,417,24,8.72,20,167,25.25,70
"Ravi Bishnoi",731,596,38,7.36,24,229,19.2368421052632,99
"Umran Malik",252,156,11,9.69,8,50,22.9090909090909,26
"VR Iyer",75,56,5,8.04,9,19,15,9
"Shubman Gill",0,0,0,0,14,0,0,0
"Shivam Mavi",124,90,7,8.27,6,32,17.7142857142857,15
"RA Tripathi",0,0,0,0,5,0,0,0
"Tilak Varma",27,31,2,5.23,16,15,13.5,5
"Mukesh Kumar",392,265,12,8.88,14,87,32.6666666666667,44
"YBK Jaiswal",11,6,0,11,17,1,0,1
"RK Singh",0,0,0,0,15,0,0,0
"M Prasidh Krishna",224,126,8,10.67,5,41,28,21
"JM Sharma",0,0,0,0,9,0,0,0
"R Sai Kishore",64,74,4,5.19,3,41,16,12
"Shahbaz Ahmed",41,36,2,6.83,2,14,20.5,6
"V Sehwag",20,7,0,17.14,18,0,0,1
"SR Tendulkar",13,15,1,5.2,1,7,13,2
"D Mongia",0,0,0,0,1,0,0,0
"IK Pathan",628,482,28,7.82,23,185,22.4285714285714,80
"Harbhajan Singh",650,626,25,6.23,27,236,26,104
"Z Khan",457,371,17,7.39,17,153,26.8823529411765,62
"AB Agarkar",85,63,3,8.1,3,26,28.3333333333333,10
"S Sreesanth",294,219,7,8.05,9,105,42,36
"G Gambhir",0,0,0,0,36,0,0,0
"RV Uthappa",0,0,0,0,12,0,0,0
"RP Singh",237,211,15,6.74,9,95,15.8,35
"Joginder Sharma",143,91,4,9.43,4,29,35.75,15
"YK Pathan",445,310,13,8.61,22,87,34.2307692307692,52
"P Kumar",205,159,8,7.74,10,57,25.625,26
"I Sharma",414,290,8,8.57,14,102,51.75,48
"M Kartik",29,24,0,7.25,1,5,0,4
"PP Ojha",135,127,10,6.38,6,42,13.5,21
"M Vijay",10,12,0,5,9,3,0,2
"PP Chawla",154,138,4,6.7,7,48,38.5,23
"R Vinay Kumar",252,194,10,7.79,9,75,25.2,32
"AB Dinda",249,186,17,8.03,9,79,14.6470588235294,31
"S Tyagi",21,13,0,9.69,1,5,0,2
"NV Ojha",0,0,0,0,2,0,0,0
"MM Patel",87,60,4,8.7,3,25,21.75,10
"PA Patel",0,0,0,0,2,0,0,0
"R Dravid",0,0,0,0,1,0,0,0
"S Badrinath",0,0,0,0,1,0,0,0
"R Sharma",57,45,3,7.6,2,18,19,8
"MK Tiwary",0,0,0,0,3,0,0,0
"L Balaji",123,97,10,7.61,5,41,12.3,16
"P Awana",72,36,0,12,2,8,0,6
"KV Sharma",29,24,1,7.25,1,9,29,4
"MM Sharma",190,139,6,8.2,8,55,31.6666666666667,23
"Sandeep Sharma",75,47,1,9.57,2,13,75,8
"S Aravind",44,22,1,12,1,4,44,4
"P Negi",16,18,1,5.33,1,8,16,3
