"innings","over","runs_in_over","wickets_in_over","run_rate","score","required_run_rate","runs_in_previous_3_overs"
1,0,2,0,0.333333333333333,2,0,NA
1,1,2,0,0.333333333333333,4,0,NA
1,2,2,1,0.333333333333333,6,0,6
1,3,1,0,0.166666666666667,7,0,5
1,4,4,0,0.666666666666667,11,0,7
1,5,3,2,0.5,14,0,8
1,6,1,0,0.166666666666667,15,0,8
1,7,7,0,1.16666666666667,22,0,11
1,8,3,0,0.5,25,0,11
1,9,5,0,0.833333333333333,31,0,15
1,10,7,0,1.16666666666667,38,0,15
1,11,0,0,0,38,0,12
1,12,8,0,1.33333333333333,46,0,15
1,13,2,3,0.333333333333333,48,0,10
1,14,4,4,0.666666666666667,52,0,14
1,15,3,0,0.5,55,0,9
1,16,3,0,0.5,58,0,10
1,17,5,0,0.833333333333333,63,0,11
1,18,2,0,0.333333333333333,65,0,10
1,19,9,0,1.5,74,0,16
1,20,1,5,0.166666666666667,75,0,12
1,21,1,6,0.166666666666667,77,0,11
1,22,2,0,0.333333333333333,79,0,4
1,23,6,0,1,85,0,9
1,24,1,0,0.166666666666667,86,0,9
1,25,3,0,0.5,90,0,10
1,26,4,0,0.666666666666667,94,0,8
1,27,4,0,0.666666666666667,98,0,11
1,28,4,0,0.666666666666667,103,0,12
1,29,3,0,0.5,106,0,11
1,30,10,0,1.66666666666667,116,0,17
1,31,5,0,0.833333333333333,122,0,18
1,32,9,0,1.5,131,0,24
1,33,10,0,1.66666666666667,142,0,24
1,34,7,0,1.16666666666667,149,0,26
1,35,5,0,0.833333333333333,154,0,22
1,36,2,0,0.333333333333333,158,0,14
1,37,8,0,1.33333333333333,166,0,15
1,38,8,0,1.33333333333333,174,0,18
1,39,2,0,0.333333333333333,176,0,18
1,40,3,7,0.5,179,0,13
1,41,4,0,0.666666666666667,183,0,9
1,42,5,0,0.833333333333333,188,0,12
1,43,5,0,0.833333333333333,195,0,14
1,44,10,0,1.66666666666667,205,0,20
1,45,3,0,0.5,208,0,18
1,46,5,8,0.833333333333333,215,0,18
1,47,3,9,0.5,218,0,11
1,48,4,10,0.666666666666667,222,0,12
2,0,4,0,0.666666666666667,4,4.4,NA
2,1,0,0,0,5,4.46938775510204,NA
2,2,14,0,2.33333333333333,19,4.27083333333333,18
2,3,6,0,1,25,4.23404255319149,20
2,4,9,0,1.5,34,4.1304347826087,29
2,5,14,1,2.33333333333333,48,3.91111111111111,29
2,6,2,0,0.333333333333333,50,3.95454545454545,25
2,7,1,0,0.166666666666667,51,4.02325581395349,17
2,8,5,0,0.833333333333333,57,3.97619047619048,8
2,9,4,0,0.666666666666667,61,3.97560975609756,10
2,10,4,0,0.666666666666667,66,3.95,13
2,11,6,0,1,72,3.8974358974359,14
2,12,1,0,0.166666666666667,73,3.97368421052632,11
2,13,10,0,1.66666666666667,83,3.81081081081081,17
2,14,9,0,1.5,92,3.66666666666667,20
2,15,1,0,0.166666666666667,94,3.71428571428571,20
2,16,0,0,0,97,3.73529411764706,10
2,17,1,0,0.166666666666667,98,3.81818181818182,2
2,18,8,0,1.33333333333333,106,3.6875,9
2,19,6,0,1,113,3.58064516129032,15
2,20,3,0,0.5,116,3.6,17
2,21,9,0,1.5,125,3.41379310344828,18
2,22,3,0,0.5,128,3.42857142857143,15
2,23,2,0,0.333333333333333,134,3.33333333333333,14
2,24,6,0,1,140,3.23076923076923,11
2,25,4,0,0.666666666666667,144,3.2,12
2,26,3,0,0.5,147,3.20833333333333,13
2,27,13,0,2.16666666666667,160,2.78260869565217,20
2,28,14,0,2.33333333333333,174,2.27272727272727,30
2,29,7,0,1.16666666666667,182,2,34
2,30,5,0,0.833333333333333,187,1.85,26
2,31,0,2,0,188,1.89473684210526,12
2,32,1,0,0.166666666666667,189,1.94444444444444,6
2,33,4,3,0.666666666666667,193,1.82352941176471,5
2,34,6,0,1,199,1.5625,11
2,35,6,0,1,206,1.2,16
2,36,3,0,0.5,209,1.07142857142857,15
2,37,2,0,0.333333333333333,212,0.923076923076923,11
2,38,3,0,0.5,216,0.666666666666667,8
2,39,2,0,0.333333333333333,219,0.454545454545455,7
2,40,5,0,0.833333333333333,224,0,10
