"batter","country","batting","bowling_style"
"DR Martyn","Australia","NONE","None"
"GD McGrath","Australia","NONE","None"
"A Symonds","Australia","NONE","None"
"GB Hogg","Australia","NONE","None"
"SR Tendulkar","India","NONE","None"
"D Mongia","India","NONE","None"
"Harbhajan Singh","India","NONE","None"
"MG Bevan","Australia","NONE","None"
"Z Khan","India","NONE","None"
"M Kaif","India","NONE","None"
"DS Lehmann","Australia","NONE","None"
"ML Hayden","Australia","NONE","None"
"A Kumble","India","NONE","None"
"Yuvraj Singh","India","NONE","None"
"AC Gilchrist","Australia","NONE","None"
"B Lee","Australia","NONE","None"
"RT Ponting","Australia","NONE","None"
"V Sehwag","India","NONE","None"
"J Srinath","India","NONE","None"
"JN Gillespie","Australia","NONE","None"
"SC Ganguly","India","NONE","None"
"R Dravid","India","NONE","None"
